Origen,fecha,municipio,recinto,comunidad,nota,comentario,estatus,veracidad
"A","2016-05-15 12:10:40","NEYBA","LICEO MANUEL DE JS. GALVAN, C/ CAPOTILLO ESQ. RODOLI BO. EL TEJAR. CIUDAD, NEYBA","Centro Ciudad","Impreso","Se observó a Jose Del Castillo Saviñon entregar maletines de dinero a altos diregentes del PLD, se está ofreciendo dinero a los votantes, incluso hasta compras de cedulas.","A","P"
"A","2016-05-15 12:13:03","GUANANICO","ESCUELA PRIMARIA RURAL, PARAJE RANCHO VIEJO, RANCHO VIEJO","Guananico","El proceso con las personas discapacitadas era muy lento.","El proceso con las personas discapacitadas era muy lento.*","A","V"
"A","2016-05-15 12:13:24","SANTO DOMINGO OESTE",\N,"Bellas Colinas","Impreso","En la Escuela Básica Japón, en el sector de Bellas Colinas, Santo Domingo Oeste, en todo al rededor hay grupos políticos (Solo vi del PLD) reuniendo gente y pagandoles para ir a votar y ofreciendo dinero para que les consigan mas gente. Igual el mismo centro (dentro) se mantiene repleto de personas que no están votando.","A","P"
"A","2016-05-15 12:18:34","SANTO DOMINGO DE GUZMÁN",\N,"Los Ríos","Impreso","","A","P"
"A","2016-05-15 12:20:39","DISTRITO NACIONAL",\N,"Atala","Impreso","La boleta presidencial la entregaron sin firmar.","A","P"
"A","2016-05-15 12:22:05","SAN JOSE DE OCOA","COMEDOR ECONOMICO, C/ AVE. CANADA ESQ. SISTER MA. SENCION, SAN JOSE DE OCOA","San Jose De Ocoa","","Problema en el scanner, a las 8:00am no se habia iniciado.*","A","P"
"A","2016-05-15 12:31:51","SAN CRISTOBAL","COMEDOR ECONOMICO, CALLE PABLO BARINAS, SAN CRISTOBAL","Lava Pies","Impresa","Dejaron entrar a saludar a candidato a alcaldía José Montás. Entró, saludó en cada mesa y salió.","A","P"
"A","2016-05-15 12:33:51","VILLA ISABELA","CENTRO EDUCATIVO PEDRO PEREZ, PARAJE LOS ANEGADIZOS, D.M. LA JAIBA","Villa Isabela","Agitación por los delegados políticos.","Agitación por los delegados políticos.*","A","V"
"Votchat","2016-05-15 12:31:24",\N,\N,\N,"Impresa","en la escuela de honduras general antonio diverge hay representantes de candidatos ofreciendo dinero para que los voten",\N,"P"
"A","2016-05-15 12:40:26","BANI","CENTRO PAROQUIAL JUAN ROBERTO SMIT., CALLE DUARTE NO.82, BANI","Pueblo arriba",\N,"","A","P"
"A","2016-05-15 12:42:20","SANTO DOMINGO OESTE",\N,"Los alcarrizos","impreso","","A","P"
"A","2016-05-15 12:46:08","JARABACOA","ESCUELA PRIMARIA URBANA, BARRIO RINCON, JARABACOA","los candelarios","","representantes del PLD molestando e impidiendo que los simpatizantes de los partidos contrarios voten. acumulacion de representantes del PLD fuera de la escuela. tomando bebidad alcoholicas","A","P"
"A","2016-05-15 12:47:16","DISTRITO NACIONAL",\N,"Santa Barbara","impreso","","A","P"
"A","2016-05-15 12:48:10","SANTO DOMINGO NORTE",\N,"Santa Cruz","impreso","","A","P"
"A","2016-05-15 12:53:49","BAJOS DE HAINA","ESCUELA SAN JOSE, CALLE CENTRAL #23 PROYECTO SAN JOSE, BAJOS DE HAINA","San jose",\N,"Los partidos prd y pld están comprando cédulas y dando dinero antes de ingresar","A","P"
"A","2016-05-15 12:53:50","BONAO","ESCUELA PRIMARIA RURAL, PARAJE EL TANQUE, D.M. LA SALVIA-LOS QUEMADOS","La salvia","Imprimir","Fallo de sistema y la gente no está votando (colegio 063)","A","P"
"A","2016-05-15 12:53:51","DISTRITO NACIONAL","COLEGIO SAN JUAN BAUTISTA, BELLA VISTA","San geronimo",\N,"","A","P"
"A","2016-05-15 12:56:15","SANTO DOMINGO ESTE",\N,"Brisas del este","Imprimir","FUERA DEL RECINTO ELECTORAL HAY UNA GRAN CANTIDAD DE PERSONAS CON GAFETES CON LA CARA DE LOS CANDIDATOS DEL PLD, PRD Y PRM. Al momento de estar en fila para entrar al recinto para ejercer el voto una persona con una gafete del PRM me susurro al oido, vota 15.","A","P"
"SMS","2016-05-15 13:00:01",\N,\N,\N,\N,"4022341636",\N,"P"
"Votchat","2016-05-15 12:53:25",\N,\N,\N,\N,"en mi colegio estaban haciendo encuestas a boca de urna no estaba identificado con ningun partido ni empresa",\N,"P"
"A","2016-05-15 13:03:34","SANTO DOMINGO OESTE",\N,"Arroyo hondo","","El escaner no está funcionando en la escuela O.D.C (rotonda de Arroyo Hondo) mesa 1969","A","P"
"A","2016-05-15 13:03:47","DISTRITO NACIONAL",\N,"DN","Militantes del PCD están comprando cédulas frente al Ministerio de Obras Públicas.","Militantes del PCD están comprando cédulas frente al Ministerio de Obras Públicas.*","A","V"
"A","2016-05-15 13:07:20","SANTO DOMINGO NORTE",\N,"Sana cruz","impreso","","A","P"
"A","2016-05-15 13:07:50","SANTO DOMINGO OESTE",\N,"Las Palmas de Herrera","Urgente, imprimir","Se escucho la explosión de un artefacto de origen desconocido y han lanzado gases lagrimogenos","A","P"
"A","2016-05-15 13:09:13","DISTRITO NACIONAL",\N,"Evaristo Morales",\N,"","A","P"
"A","2016-05-15 13:14:31","GUAYACANES","Centro Educativo Laura Vicini Barletta","Guayacanae","La señal del dispositivo estaba congestionada.","La señal del dispositivo estaba congestionada.*","A","V"
"A","2016-05-15 13:17:45","SANTO DOMINGO ESTE",\N,"Santo Domingo Este","Informacion interna del equipo","-Centro Educativo Celina Pelier - Centro Educativo Fuente Inagotable - Centro Educativo Santa Clara - Club los Billeteros - Domingo Moreno - Escuela Basica Prof Escolastica Paez - Escuela Panama - Escuela San Martin de Porras - Estacion Bomberos 2 - Fabio Amable Mata - Politécnico Virgen Altagracia - Santo Tomas - Universo Primero Centro Educativo","A","F"
"A","2016-05-15 13:19:03","DISTRITO NACIONAL",\N,"Arroyo hondo",\N,"Todo bien en verdad.","A","P"
"A","2016-05-15 13:21:45","SANTO DOMINGO OESTE",\N,"Santo Domingo Oeste","Informacion interna entre el equipo","Centro de Estudio Paniel - Colegio Diaz Piñeiro - Colegio Gregorio Luperon - Colegio santo Socorro - Escuela Esteban Martinez - Escuela Ivan Guzman - Escuela Nuestra Señora de la Altagracia - Impedidos de minusvalidos  - Liceo Las Americas - Parroquia la Altagracia","A","F"
"A","2016-05-15 13:23:15","DISTRITO NACIONAL",\N,"Piantini",\N,"Soy delegada de la APD Y no me quisieron reconocer ni aceptar dentro del colegio.","A","P"
"A","2016-05-15 13:23:44","HATO MAYOR DEL REY",\N,"HMR",\N,"Votaciones iniciaron tarde.*","A","P"
"A","2016-05-15 13:24:45","SANTIAGO DE LOS CABALLEROS","BANCO AGRICOLA, AV. JUAN PABLO DUARTE, SANTIAGO","La Esmeralda",\N,"Sugiriendo votar por José Enrique y Abinader en la misma mesa de votación (179 A)","A","P"
"A","2016-05-15 13:24:48","DISTRITO NACIONAL",\N,"Paraiso",\N,"","A","P"
"A","2016-05-15 13:25:03","HATO MAYOR DEL REY","Cruz Roja Dominicana","hm",\N,"No hay rampas para discapacitados.*","A","P"
"A","2016-05-15 13:25:27","YAYAS DE VIAJAMA",\N,"SAN FELIPE",\N,"Centro Educativo Antera Mota - Centro Educativo Gregorio Luperon - Centro Educativo Jose Dubeau - Colegio Bautista el Maestro - Universidad O&amp;M","A","P"
"A","2016-05-15 13:26:33","HATO MAYOR DEL REY","Escuela Padre Bernardo Pichardo","HMR",\N,"Solo funcionan 3 de 5 colegios.*","A","P"
"A","2016-05-15 13:27:56","SANTIAGO DE LOS CABALLEROS","ESCUELA PRIMARIA SALOME UREÑA, PARAJE GURABO ABAJO SECCION GURABO ABAJO, GURABO ABAJO","gurabo",\N,"Estan entregando boletas sin estar debidamente sellada por la Junta Centra Electoral sucede a la hora de votar, en cuanto a la presidencial.","A","P"
"A","2016-05-15 13:28:06","SAN PEDRO DE MACORÍS","Escuela Porvenir","San Pedro de Macoris",\N,"Colegio No.0175 no aperecio  en este recinto.","A","P"
"A","2016-05-15 13:30:13","PERALVILLO",\N,"Peralvillo",\N,"Escuela Emilio Bautista","A","P"
"A","2016-05-15 13:32:43","DISTRITO NACIONAL",\N,"Gazcue","","No marcan la huella.digital del.votante... en mi caso ni tinta ni scaner digital.. solo firma en padron..en la mesa 0157","A","P"
"A","2016-05-15 13:32:56","DISTRITO NACIONAL",\N,"Renacimiento","","","A","P"
"A","2016-05-15 13:34:39","DISTRITO NACIONAL",\N,"Bella Vista","imprimir","Los scanners no funcionaron, nos pusieron unas marcas de corazón y estrellas en la mano.","A","P"
"A","2016-05-15 13:38:24","DISTRITO NACIONAL",\N,"Distrito nacional","Informacion interna","Club Naco - Colegio babeque - Colegio Espiritu Santo - Colegio Luis Munoz Rivera - Colegio Ovido - Colegio San Judas Tadeo - Conape - Escuela Cuba - Escuela Publica Dominicana - Hospital Salvador B Gautier - Impuestos Internos Av Mexico - Lic. Victor Estrella - Liceo Francisco Ulises Dominguez - Ministerio de Educacion - Ministerio de Hacienda - Obras Publicas - Sagrado Corazon - Salud Publica","A","F"
"A","2016-05-15 13:41:01","DISTRITO NACIONAL",\N,"Gazcue","impreso","No se utilizó escaner, ni tintura en el dedo índice para indicar que se votó.  Colegio 146A ¿Eso es correcto?","A","P"
"A","2016-05-15 13:46:32","SANTIAGO DE LOS CABALLEROS","AYUNTAMIENTO DE SANTIAGO, AV. JUAN PABLO DUARTE, SANTIAGO","La Trinitaria","Imprimir","Delegados de mesa usando uso del celular, al decirles que abonden el celular, delegados de mesa del PLD y PRD hacían caso omiso a la solicitud del presidente de mesa.","A","P"
"A","2016-05-15 13:46:56","DISTRITO NACIONAL",\N,"Manganagua","Imprimir","Personas utilizando los celulares y tomando fotos","A","P"
"A","2016-05-15 13:49:06","DISTRITO NACIONAL",\N,"ciudad nueva","","Personas con gafetes haciendo campaña a candidatos del PLD, PRD y PRM estan tomando cervezas en el colmado Villar ubicado en la C/ Francisco J. Peynado No. 56A, Ciudad Nueva.","A","P"
"A","2016-05-15 13:54:42","DISTRITO NACIONAL",\N,"Las 800ta",\N,"Vi una joven que le daban una cédula un representante de la mesa, la cual la saco de un sobre lleno de cédulas. Cuando le pregunté porque habían cédulas en ese sobre me dijo que las cédulas eran de las de la mesa, lo cual obviamente es mentira.","A","P"
"A","2016-05-15 13:56:59","DISTRITO NACIONAL","Ministerio de Educacion","Gazcue",\N,"","A","P"
